"Timestamp","sessionID","timeAccuracySent","accuracy"
"2025/04/11 11:19:58 AM MDT","638799635376920000","638799635975540000","0"
"2025/04/11 11:20:03 AM MDT","638799635376920000","638799636025700000","0.6"
"2025/04/11 11:20:16 AM MDT","638799635376920000","638799636155000000","0.6666667"
"2025/04/11 11:20:25 AM MDT","638799635376920000","638799636252480000","0.5454546"
"2025/04/11 11:20:31 AM MDT","638799635376920000","638799636310990000","0.6923077"
"2025/04/11 11:20:36 AM MDT","638799635376920000","638799636361130000","0.6666667"
"2025/04/11 11:20:42 AM MDT","638799635376920000","638799636421280000","0.6842105"
"2025/04/11 11:20:47 AM MDT","638799635376920000","638799636471440000","0.6842105"
"2025/04/11 11:28:13 AM MDT","638799635376920000","638799640926470000","0.6842105"
"2025/04/11 11:28:18 AM MDT","638799635376920000","638799640976620000","0.6842105"
"2025/04/11 11:28:23 AM MDT","638799635376920000","638799641026780000","0.6842105"
"2025/04/11 11:28:28 AM MDT","638799635376920000","638799641076940000","0.6842105"
"2025/04/11 11:28:33 AM MDT","638799635376920000","638799641127090000","0.6842105"
"2025/04/11 11:28:38 AM MDT","638799635376920000","638799641177250000","0.6842105"
"2025/04/11 11:28:43 AM MDT","638799635376920000","638799641227400000","0.6842105"
"2025/04/11 1:40:13 PM MDT","638799720073490000","638799720124310000","0"
"2025/04/11 1:40:17 PM MDT","638799720073490000","638799720174310000","0"
"2025/04/11 1:40:22 PM MDT","638799720073490000","638799720224360000","0.6"
"2025/04/11 1:40:33 PM MDT","638799720073490000","638799720330780000","0.6666667"
"2025/04/11 1:40:38 PM MDT","638799720073490000","638799720380820000","0.3636364"
"2025/04/11 1:40:43 PM MDT","638799720073490000","638799720430930000","0.5"
"2025/04/11 1:40:52 PM MDT","638799720073490000","638799720520450000","0.4761905"
"2025/04/11 1:41:02 PM MDT","638799720073490000","638799720622610000","0.52"
"2025/04/11 1:41:07 PM MDT","638799720073490000","638799720672730000","0.4814815"
"2025/04/11 1:41:12 PM MDT","638799720073490000","638799720722890000","0.53125"
"2025/04/11 1:41:17 PM MDT","638799720073490000","638799720773060000","0.5675676"
"2025/04/11 1:41:22 PM MDT","638799720073490000","638799720823140000","0.5952381"
"2025/04/11 1:41:27 PM MDT","638799720073490000","638799720873220000","0.6170213"
"2025/04/11 1:41:32 PM MDT","638799720073490000","638799720923390000","0.6153846"
"2025/04/11 1:41:39 PM MDT","638799720073490000","638799720994870000","0.6315789"
"2025/04/11 1:41:44 PM MDT","638799720073490000","638799721044980000","0.6774194"
"2025/04/11 1:41:49 PM MDT","638799720073490000","638799721094980000","0.7076923"
"2025/04/11 1:41:54 PM MDT","638799720073490000","638799721145110000","0.7352941"
"2025/04/11 1:42:01 PM MDT","638799720073490000","638799721214430000","0.7605634"
"2025/04/11 1:42:06 PM MDT","638799720073490000","638799721264550000","0.7972973"
"2025/04/11 1:42:11 PM MDT","638799720073490000","638799721314680000","0.8181818"
"2025/04/11 1:42:16 PM MDT","638799720073490000","638799721364690000","0.8375"
"2025/04/11 1:42:21 PM MDT","638799720073490000","638799721414770000","0.8554217"
"2025/04/11 1:42:28 PM MDT","638799720073490000","638799721487240000","0.872093"
